year,month,day,humidity,temp,sun,wind
2010,9,6,70,33.3,10,6.1
2010,9,7,66,33.5,7.9,8.4
2010,9,8,84,29.2,0,5
2010,9,9,70,28.3,8.1,5.2
2010,9,10,65,29.9,4.8,2.5
2010,9,11,72,31.3,11.2,4.1
2010,9,12,77,31.9,7.2,3.6
2010,9,13,76,31.7,6.5,3.2
2010,9,14,73,30.8,5.6,3.7
2010,9,15,69,26.4,1.5,4.4
2010,9,16,88,22.9,0,3
2010,9,17,75,28.6,7.9,1.8
2010,9,18,68,30.2,8.6,3.1
2010,9,19,73,29.3,9.3,2.7
2010,9,20,74,29.4,2.9,2.2
2010,9,21,74,31.3,8.2,2
2010,9,22,73,32.8,10.6,4.1
2010,9,23,87,24.5,0,4.9
2010,9,24,75,20,0,4.4
2010,9,25,70,22.3,4.8,4.5
2010,9,26,61,24.4,5.7,2.7
2010,9,27,91,17.7,0,4
2010,9,28,90,23.7,0.1,2.8
2010,9,29,61,25.5,5.7,3.5
2010,9,30,86,21.3,0,2.9
2011,5,1,74,20.2,0,8.2
2011,5,2,48,24.5,9.9,3.8
2011,5,3,75,18.8,0.2,3.6
2011,5,4,66,20.9,10.5,3.7
2011,5,5,64,18.4,1.1,4.8
2011,5,6,71,19.5,2.1,3.1
2011,5,7,82,19.4,0,3.6
2011,5,8,68,25,11.7,3
2011,5,9,53,24,7.8,4.1
2011,5,10,73,26.7,1.1,5.6
2011,5,11,87,16.8,0,3.4
2011,5,12,90,17.3,0,2.9
2011,5,13,80,24.4,3.1,4
2011,5,14,51,23.8,10.7,4
2011,5,15,33,24.5,11.4,5.5
2011,5,16,55,24.7,3.2,6.5
2011,5,17,72,21.2,0.2,4.8
2011,5,18,65,24.2,9,3.5
2011,5,19,58,25.4,13,5.3
2011,5,20,65,25.2,12.1,6.2
2011,5,21,71,25.5,11,7.1
2011,5,22,79,26.3,5.3,6.6
2011,5,23,70,18.3,0,3.7
2011,5,24,79,17.9,2.1,3.1
2011,5,25,68,21.7,11,2.5
2011,5,26,72,23.4,1.5,3.4
2011,5,27,74,21.2,0,3
2011,5,28,90,20.9,0,2.6
2011,5,29,91,19,0,4.4
2011,5,30,76,20.2,0,5.3
2011,5,31,62,17.4,6.1,5.8
2011,6,1,63,18.8,2.5,3.1
2011,6,2,84,18.2,0,2
2011,6,3,78,23.9,7.1,2.5
2011,6,4,73,26.1,10.9,4.4
2011,6,5,72,25,4.1,5.9
2011,6,6,63,29.2,11.8,3.1
2011,6,7,72,24.7,0.8,3.2
2011,6,8,79,23.7,2.1,2.6
2011,6,9,73,26.2,5.6,2.7
2011,6,10,74,26.6,2.9,4.7
2011,6,11,84,23.4,0.1,4.2
2011,6,12,71,27.4,1.8,2.8
2011,6,13,83,23.5,0,2.6
2011,6,14,74,23.6,0.4,3.3
2011,6,15,62,23.6,1.3,3.7
2011,6,16,76,23.6,0,3.5
2011,6,17,87,21.8,0.1,3.3
2011,6,18,82,23,0,2.2
2011,6,19,82,24.9,0.5,2.1
2011,6,20,79,25.8,1.3,3.7
2011,6,21,77,27.9,5.7,6.4
2011,6,22,71,31.5,12.8,3.6
2011,6,23,77,27.1,0.4,7.2
2011,6,24,76,29.9,8.3,10.1
2011,6,25,77,27.7,3.2,5
2011,6,26,92,22.3,0,2
2011,6,27,92,26,0,3.5
2011,6,28,75,32.5,7.6,4
2011,6,29,67,35,12.1,2.8
2011,6,30,74,33.9,7,2.6
2011,7,1,77,33.8,5.6,3.2
2011,7,2,80,29.4,3.8,3.1
2011,7,3,77,31.5,8.2,3.8
2011,7,4,76,30.8,7.6,10.4
2011,7,5,71,31.5,8.4,6
2011,7,6,67,32.1,10.4,4.5
2011,7,7,77,29.3,3.5,7.7
2011,7,8,77,30.2,0,5.3
2011,7,9,76,30.5,9.5,4.9
2011,7,10,75,31.5,13.6,5.2
2011,7,11,75,32,12.7,4.5
2011,7,12,75,31.6,10.2,5
2011,7,13,71,31.4,12.3,5.2
2011,7,14,67,32.3,11.9,5
2011,7,15,70,33,13.6,4.2
2011,7,16,74,31.8,11.8,4.5
2011,7,17,73,33.8,10.6,5.3
2011,7,18,75,32.4,5.6,5.7
2011,7,19,85,29.1,0,5.6
2011,7,20,82,30.2,0.2,6.1
2011,7,21,78,23.1,2.5,7.2
2011,7,22,66,25.3,8.6,4.4
2011,7,23,74,24.7,0.2,4.5
2011,7,24,73,28.2,3.9,2.7
2011,7,25,73,30.6,9.1,4.8
2011,7,26,77,29.5,2.4,6
2011,7,27,77,29.8,1.4,5.1
2011,7,28,85,29,0.2,2.5
2011,7,29,85,28.4,0.1,2.3
2011,7,30,87,29.4,0.9,2.3
2011,7,31,84,26.5,0.1,4.3
2011,8,1,78,27.8,4.8,3.6
2011,8,2,76,29.7,5.8,3
2011,8,3,82,30,1.9,2.9
2011,8,4,82,31.8,6,4
2011,8,5,85,30,4.4,3.1
2011,8,6,79,31.2,7.9,3.6
2011,8,7,77,33.3,4.5,2.4
2011,8,8,72,32.6,9.5,2.8
2011,8,9,76,33.8,10.1,3.5
2011,8,10,74,34.3,12.3,5.4
2011,8,11,74,34.3,8.9,4.5
2011,8,12,68,36.3,8,2.8
2011,8,13,75,33.7,6.3,3.1
2011,8,14,75,33.6,9.6,4.6
2011,8,15,73,33.1,10.8,5.7
2011,8,16,73,33.2,7.2,4.2
2011,8,17,72,34.4,10.8,4
2011,8,18,72,34.3,10.7,7.5
2011,8,19,86,30.9,1.4,5.7
2011,8,20,80,25.9,0,2.6
2011,8,21,93,23.3,0,2.8
2011,8,22,93,23.1,0,2.7
2011,8,23,81,31.5,8.9,3.9
2011,8,24,84,30.3,3.8,3.9
2011,8,25,83,29.7,0.7,5.4
2011,8,26,83,31.9,7.7,4.2
2011,8,27,85,27.3,2.3,3.7
2011,8,28,77,30.7,8.1,3.1
2011,8,29,80,29.8,4.8,3.8
2011,8,30,75,31.1,8.8,4.4
2011,8,31,85,30.4,0.4,3
2011,9,1,84,31.5,0.7,4.6
2011,9,2,83,31.2,4,7.1
2011,9,3,77,30.5,5,9.6
2011,9,4,76,30.8,3.7,6.8
2011,9,5,82,29.9,1.1,3.4
2011,9,6,75,28.8,2,3.1
2011,9,7,69,28.9,10.3,3.2
2011,9,8,68,30,11.6,3.3
2011,9,9,75,30.8,8.3,4.3
2011,9,10,76,30.8,10.9,4.4
2011,9,11,81,32,2.2,3.2
2011,9,12,76,30.9,8.9,2.9
2011,9,13,76,31,10.7,4.1
2011,9,14,73,32.4,11.4,3.7
2011,9,15,74,31.3,10.9,3.4
2011,9,16,76,31.4,6.5,4.3
2011,9,17,76,32.4,7.1,5.8
2011,9,18,76,30.6,8.9,4.9
2011,9,19,80,31.4,5.1,4.3
2011,9,20,92,22.1,0,3.7
2011,9,21,87,27.7,0,10.1
2011,9,22,74,29,7.8,5.3
2011,9,23,68,24,2.9,2.4
2011,9,24,60,25.3,9,3.3
2011,9,25,66,24,3.1,4.1
2011,9,26,80,19.9,0.1,2.8
2011,9,27,76,23.4,4.1,3.5
2011,9,28,70,24.4,5.5,3.7
2011,9,29,72,25.8,6,2.9
2011,9,30,75,27.3,4.9,5.5
2012,5,1,77,22,0.6,4.7
2012,5,2,85,20.6,0,5.7
2012,5,3,94,21.9,0,5
2012,5,4,85,22.4,1.5,2.6
2012,5,5,54,26.8,12.2,4.9
2012,5,6,71,26.1,7.6,5.1
2012,5,7,70,23.2,11,3.7
2012,5,8,68,24.1,7.7,2.4
2012,5,9,77,21.8,0,1.9
2012,5,10,78,22.6,6.9,2.6
2012,5,11,48,22.5,10.4,4.6
2012,5,12,39,21.3,5.4,5.4
2012,5,13,46,21.3,12,3.3
2012,5,14,69,23.1,10.4,3.5
2012,5,15,88,20.1,0,4.3
2012,5,16,66,27.4,7.4,3.5
2012,5,17,71,25.6,7.4,4.6
2012,5,18,65,22.8,7.4,4.2
2012,5,19,52,23.5,11.9,3.8
2012,5,20,64,24,5.4,3.4
2012,5,21,66,23.6,7.2,4.4
2012,5,22,88,15.8,0,4.8
2012,5,23,77,23.7,4.8,3.9
2012,5,24,74,27.3,10.3,3.8
2012,5,25,78,21.6,0.2,3
2012,5,26,60,25.7,9.9,3.2
2012,5,27,59,25.8,11.6,3.6
2012,5,28,65,26.1,9,4.6
2012,5,29,72,25.1,7.5,5.6
2012,5,30,73,23.9,6.5,3.2
2012,5,31,76,23.8,2.9,3.5
2012,6,1,76,27.3,2.9,2.7
2012,6,2,74,25.9,6.4,2.7
2012,6,3,76,24.8,6.5,4.1
2012,6,4,72,26.1,10,3.8
2012,6,5,72,24,0,4.6
2012,6,6,80,20.8,0.8,4.5
2012,6,7,70,25.3,9,3.8
2012,6,8,76,27.1,10.8,4.8
2012,6,9,91,21.3,0,5.2
2012,6,10,75,27.3,4.1,3.9
2012,6,11,76,24.6,2.2,3.7
2012,6,12,87,18.1,0,4.8
2012,6,13,75,20.7,1.9,5.3
2012,6,14,71,23.6,8.6,4.1
2012,6,15,73,24.1,4.6,3.2
2012,6,16,91,22.1,0,3.3
2012,6,17,85,26.9,2,3.2
2012,6,18,70,27.8,6.4,3.8
2012,6,19,87,26.7,0.5,6.2
2012,6,20,76,28.5,6.3,11
2012,6,21,74,26.3,0.8,4.3
2012,6,22,85,23,0,3.7
2012,6,23,72,25,0.8,3.4
2012,6,24,75,25.3,2.7,3.6
2012,6,25,73,19.6,0,5.1
2012,6,26,67,23.7,13.4,3.7
2012,6,27,70,25.8,11.3,3.1
2012,6,28,75,25.4,3.6,2.9
2012,6,29,74,26.6,5.3,3.8
2012,6,30,74,27.4,8.1,3.2
2012,7,1,79,25.4,0.9,2.3
2012,7,2,86,25.8,2.3,3.3
2012,7,3,85,26.7,3.4,2.6
2012,7,4,79,28.6,7.7,3.4
2012,7,5,80,28.1,2.9,2.3
2012,7,6,82,28.7,1,2.5
2012,7,7,91,25.4,0,3.7
2012,7,8,81,25.3,3.4,3.2
2012,7,9,77,29.3,8.7,3
2012,7,10,78,29.1,11.3,3.2
2012,7,11,74,31.5,11.2,5.6
2012,7,12,77,28.6,0,8.9
2012,7,13,81,29.9,2.5,7.7
2012,7,14,81,30.4,5,7.3
2012,7,15,77,31.5,6.2,8.7
2012,7,16,73,32.5,11.1,8.9
2012,7,17,70,32.2,11.5,5.5
